,Character,Dialogue
10,ESTELLE,understand really nothing better three clock afternoon go quart milk come home find son treating body like amusement park give good thing hit table could cracked head open georgie leave alone dinner ready think take georgie picked show nbc guy liked told liked well know write since know write never saw write anything know going write show get idea nothing please tell truth whole thing sound pretty stupid poor georgie fault happened something wrong maybe fault oh fault smother sure always korea religious chachkis sorry bother judge please found guilty please kind good boy well maybe something know
11,MR. LIPPMAN,mmmmm ah hah bottom good idea thought guy going
12,STEINBRENNER,yes yes george talk second course accessible man wanted say great work canola oil stuff ade ade like name george fact george bout one time knocked right as cost like two quarter owner box got bring forty buck problem yes right good kid lovely boy shared calzone heck sandwich georgie one little problem though communist thick come like big juicy steak
13,JOE DIVOLA,jerry joe divola hair tongue good fear primal emotion know like encourage intruder like home shrine took telephoto lens coming office apartment shopping showering developed dark room would like see supposed able get opera ticket pagliacci friend really looking forward really know story pagliacci nedda clown whose wife unfaithful think clown nedda betrayed another nedda want tell want name tell name pagliacci kill wife leaving excuse anything welcome accept change know could say humiliate may dressed clown person need people like looking nose street performer trying make enough get showing girlfriend people make sick want money binaca
14,MICKEY,hey jerry pleasure let u even talk want sick make sick gave gonorrhea even tell
15,BABU,oh ah hear u smoking non smoking proud offer good name babu bhatt waiter steaming hot folded face cloth pleasure special taco moussaka frank bean oh turkey kind man kind thank kind deed pleasure oh welcome dream cafe kill kill babu babu bad man bad man lazy bad man wheel motion friend got mail give came visit said lawyer called help said wheel motion motion nothing sent back going save every rupee someday get back america exact vengeance man cannot forget haunt bad man bad man
16,WILHELM,called meeting problem last month someone stealing equipment club recently little thing know base batting helmet donut two night ago pulled big one took pitching machine batting cage field tarp mr steinbrenner vitamin reason believe inside job anybody know anything recommend strongly come forward george heard anything missing equipment george nothing hate liar feeling right george look little warm terrible liar george look wreck sweating bullet george seen morgan coming late week something wrong really make sure sign oh look george problem morgan tell understand seen morgan late george cover going gone soon going recommend job still want know happened birthday card morgan ever sign george beautiful tell going mounted like ha ha ha ha ha george keep good work george got final budget number went budget item think going problem meet mets meet mets come right greet mets
17,PETERMAN,best way get someplace never cry oh matter nice jacket soft huge button flap cargo pocket draw string waist deep biswing vent back perfect jumping gondola coat yes j peterman distance heard bull began running fast could fortunately wearing italian captoe oxford sophisticated yet different nothing make huge fuss rich dark brown calfskin leather matching leather vent men whole half size price shirt get bad must jerry seinfeld j peterman oh elaine called joining u worry tell maitre three bull ah fong accommodating shall understand hard feeling george miss company fong two evening george dine tucked river bend object search gwon jaya river market fabric spice traded starlit sky discovered pamplona beret size seven half eight three quarter price thirty five dollar ha ha nonsense george besides give chance tell latest trip burma discovered unusual corduroy peterman oh alright right uh p first twenty four hour worst better bring poncho ha ha ha ha oh stirring little anthem wellness missed get well party poor old walt polyp duodenum benign ooh still bastard oh elaine keep secret inside small college boy minifridge latest acquisition slice cake wedding king edward viii wallis simpson circa price elaine excellent would like meet friend mine irwin lubeck right brace lubeck launched via pastry back wedding one dashing romantic nazi sympathizer entire british royal family oh elaine stay lubeck world foremost appraiser vintage pastry right lubeck much worth ha ha ha ha ha lubeck glorious titwillow made profit castle windsor oh good lord elaine moment ago convinced receiving end one oldest baker grift book entenmann shim sham remembered videotape surveillance system installed catch walter using latrine also caught elaine question item still know happens butter based frosting six decade poorly ventilated english basement well feeling go punishment enough dismissed love god
18,PUDDY,hey cocktail speaker right let u hit brick hey babe new coat yeah saw jerry wearing looked like bit dandy check ball got question ask ball sign point yes alright careful car babe move seat got right like two ten babe peel feel like arby night yes right one going hell elaine forgot deliver paper today grab one c mon get sorry thou shalt steal care know going nah alright going rough bos going hell stole jesus fish way bogus man really mood going hell alright
19,PITT,mr landis something wrong copying machine coming slanted know department something else indefinable quality grace yes grace yes well want much grace able stand elaine want come work personal assistant pay pendant would need start right away like tight elastic need pull much elaine feel cold coming could get cold pill medicine cabinet yes yes check pharmacist girl want put elaine spoke someone worked okay man gave pill drug store pharmacist fired elaine goodbye tried smother pillow
20,BANIA,hey jerry hi hey name hey jerry jenna pretty good lookin huh oh awkward ouch hey jerry didja see jerry first pilot nbc one look like following puke funny word use
21,SOUP NAZI,bread extra want bread soup snap finger pushing luck little man yes good good know something soup come back one year next hey kissing line nobody kiss line cost soup ohh city continue right listen good friend armoire basement want pick welcome take one understands yes right tolerate le customer por favor adios muchacho knew never would given first place would taken hatchet smashed piece want soup next speak go leave get next think get soup please wasting everyone time recipe wild mushroom mulliga tawny yev kassem next question used come restaurant want bread three dollar soup idiot clown know order banned one woman year one day came back recipe wild mushroom published recipe close store move argentina ruined business say
